127.0.0.1 -- [2021-11-14 13:57:55,243]:  "GET /website/dashboard.html HTTP/1.1" 414 246 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:13:03,042]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:13:03,285]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:13:03,311]:  "GET /screenshot.png HTTP/1.1" 414 246 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:13:03,326]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:23:57,638]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:23:57,886]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:23:58,138]:  "GET /screenshot.png HTTP/1.1" 414 246 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:23:58,358]:  "GET /screenshot.png HTTP/1.1" 414 246 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:23:58,394]:  "GET /favicon.ico HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:23:58,395]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:23:58,407]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:24:12,183]:  "GET /video.mp4 HTTP/1.1" 206 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:25:44,450]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:25:44,696]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:25:44,964]:  "GET /screenshot.png HTTP/1.1" 200 503660 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:25:45,198]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:25:45,210]:  "GET /screenshot.png HTTP/1.1" 200 503660 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:25:45,238]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:25:47,293]:  "GET /video.mp4 HTTP/1.1" 206 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:36:05,460]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:36:05,712]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:36:07,288]:  "GET /video.mp4 HTTP/1.1" 200 9374257 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:36:08,091]:  "GET /favicon.ico HTTP/1.1" 404 236 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:36:10,803]:  "GET /screenshot.png HTTP/1.1" 200 503660 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:36:10,964]:  "GET /screenshot.png HTTP/1.1" 200 503660 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:36:10,977]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:47:43,148]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

127.0.0.1 -- [2021-11-14 14:47:43,292]:  "GET /index.html HTTP/1.1" 200 158 "Apache/2.4.41 (Ubuntu)"

